timestamp,step,cell_id,rsrp_dbm,sinr_db,bler_pct,prb_utilization_pct,throughput_mbps,rrc_success_pct,handover_success_pct,call_drop_pct,latency_ms,availability_pct,ground_truth
2026-01-01T00:00:00Z,0,CELL-001,-84.1667,19.1083,0.4318,24.9535,51.7526,99.7349,99.3558,0.1973,14.7075,99.9944,normal
2026-01-01T00:00:00Z,0,CELL-002,-87.5265,17.9549,0.4504,24.2242,48.8903,99.7342,99.3534,0.198,14.5855,99.9933,normal
2026-01-01T00:00:00Z,0,CELL-003,-84.1596,19.1172,0.4317,28.0873,60.8635,99.7349,99.3265,0.1973,15.2715,99.9942,normal
2026-01-01T00:00:00Z,0,CELL-004,-83.0133,19.1535,0.4312,23.4051,51.8747,99.7349,99.3984,0.1972,14.4285,99.9928,normal
2026-01-01T00:00:00Z,0,CELL-005,-89.8927,17.2743,0.4661,23.3217,48.6444,99.7337,99.3856,0.1986,14.4309,99.9935,normal
2026-01-01T00:00:00Z,0,CELL-006,-88.9694,17.5512,0.4591,26.2795,56.6316,99.7339,99.3404,0.1984,14.9599,99.9929,normal
2026-01-01T00:00:00Z,0,CELL-007,-85.0587,18.8878,0.4347,24.7348,50.8284,99.7348,99.3571,0.1974,14.6696,99.9938,normal
2026-01-01T00:00:00Z,0,CELL-008,-86.3239,18.2103,0.4455,27.3481,55.8122,99.7344,99.3345,0.1978,15.1454,99.9934,normal
2026-01-01T00:00:00Z,0,CELL-009,-86.2355,18.3387,0.4432,27.0476,56.7123,99.7345,99.2902,0.1977,15.0902,99.994,normal
2026-01-01T00:00:00Z,0,CELL-010,-87.0175,18.0174,0.4491,27.5125,58.0996,99.7343,99.3723,0.198,15.1768,99.9938,normal
2026-01-01T00:00:00Z,0,CELL-011,-83.5949,18.9898,0.4333,31.0751,69.8313,99.7348,99.2656,0.1973,15.8102,99.9948,normal
2026-01-01T00:00:00Z,0,CELL-012,-84.6857,19.1353,0.4314,21.8428,50.391,99.7349,99.3047,0.1973,14.1474,99.994,normal
2026-01-01T00:00:00Z,0,CELL-013,-84.465,19.0495,0.4325,22.8723,47.3203,99.7349,99.3033,0.1973,14.3333,99.9932,normal
2026-01-01T00:00:00Z,0,CELL-014,-83.3051,19.4429,0.4278,21.9239,47.1269,99.735,99.2636,0.1971,14.1602,99.9929,normal
2026-01-01T00:00:00Z,0,CELL-015,-84.9002,18.7859,0.4361,27.0477,57.8031,99.7347,99.3536,0.1974,15.0867,99.9914,normal
2026-01-01T00:00:00Z,0,CELL-016,-86.8206,18.0505,0.4485,28.1562,59.5449,99.7343,99.338,0.1979,15.2923,99.991,normal
2026-01-01T00:00:00Z,0,CELL-017,-84.635,18.8785,0.4348,23.3372,52.1989,99.7348,99.3918,0.1974,14.4181,99.9916,normal
2026-01-01T00:00:00Z,0,CELL-018,-87.6706,18.1741,0.4461,23.7274,52.5511,99.7344,99.3037,0.1978,14.494,99.9934,normal
2026-01-01T00:00:00Z,0,CELL-019,-83.4804,19.2218,0.4304,21.8867,45.6065,99.7349,99.2765,0.1972,14.1548,99.9944,normal
2026-01-01T00:00:00Z,0,CELL-020,-85.5158,18.399,0.4422,25.8778,53.2426,99.7345,99.4957,0.1977,14.8791,99.99,normal
2026-01-01T00:05:00Z,1,CELL-001,-84.4766,19.3469,0.4289,24.9936,52.3504,99.735,99.3094,0.1972,14.7133,99.9943,normal
2026-01-01T00:05:00Z,1,CELL-002,-87.7311,17.9489,0.4505,23.6734,47.7664,99.7342,99.3579,0.198,14.4865,99.9923,normal
2026-01-01T00:05:00Z,1,CELL-003,-84.4855,19.2519,0.43,27.6786,60.3137,99.7349,99.3473,0.1972,15.1971,99.9938,normal
2026-01-01T00:05:00Z,1,CELL-004,-82.9676,18.972,0.4335,25.7824,56.7133,99.7348,99.2908,0.1973,14.8576,99.9938,normal
2026-01-01T00:05:00Z,1,CELL-005,-90.1023,16.8618,0.4779,23.0136,47.1071,99.7333,99.3919,0.1991,14.3814,99.9929,normal
2026-01-01T00:05:00Z,1,CELL-006,-88.6816,17.604,0.4579,24.9017,53.7889,99.734,99.348,0.1983,14.7113,99.9946,normal
2026-01-01T00:05:00Z,1,CELL-007,-84.8977,18.9933,0.4333,24.1957,49.9411,99.7348,99.2861,0.1973,14.5719,99.9919,normal
2026-01-01T00:05:00Z,1,CELL-008,-85.8399,18.3433,0.4431,27.217,55.8641,99.7345,99.3643,0.1977,15.1206,99.9947,normal
2026-01-01T00:05:00Z,1,CELL-009,-86.1538,18.3609,0.4428,28.4482,59.7056,99.7345,99.3714,0.1977,15.3421,99.9922,normal
2026-01-01T00:05:00Z,1,CELL-010,-86.9513,18.1889,0.4459,29.0108,61.7221,99.7344,99.4325,0.1978,15.4449,99.9916,normal
2026-01-01T00:05:00Z,1,CELL-011,-83.6464,18.9428,0.4339,32.9565,73.9138,99.7348,99.2946,0.1974,16.1491,99.9913,normal
2026-01-01T00:05:00Z,1,CELL-012,-84.4609,19.2564,0.4299,21.0779,48.8713,99.735,99.3418,0.1972,14.009,99.995,normal
2026-01-01T00:05:00Z,1,CELL-013,-84.0739,19.1195,0.4316,23.2883,48.3217,99.7349,99.2475,0.1973,14.4077,99.9934,normal
2026-01-01T00:05:00Z,1,CELL-014,-83.5352,19.5717,0.4264,21.8055,47.1201,99.7351,99.3333,0.1971,14.1382,99.9928,normal
2026-01-01T00:05:00Z,1,CELL-015,-85.3038,18.5806,0.4392,28.2457,59.8406,99.7346,99.3336,0.1976,15.3038,99.9938,normal
2026-01-01T00:05:00Z,1,CELL-016,-86.6648,17.8053,0.4534,29.817,62.3832,99.7341,99.3152,0.1981,15.5938,99.9946,normal
2026-01-01T00:05:00Z,1,CELL-017,-84.5665,18.8796,0.4348,23.3385,52.2041,99.7348,99.3545,0.1974,14.4183,99.9923,normal
2026-01-01T00:05:00Z,1,CELL-018,-86.9504,17.9993,0.4495,24.0891,52.9482,99.7343,99.3356,0.198,14.5608,99.9929,normal
2026-01-01T00:05:00Z,1,CELL-019,-83.6246,19.219,0.4304,20.3189,42.3348,99.7349,99.3135,0.1972,13.8726,99.992,normal
2026-01-01T00:05:00Z,1,CELL-020,-86.1675,18.2832,0.4442,25.4968,52.1981,99.7345,99.3235,0.1978,14.8115,99.9923,normal
2026-01-01T00:10:00Z,2,CELL-001,-84.4931,19.5806,0.4263,23.5254,49.7493,99.7351,99.4565,0.1971,14.4477,99.9913,normal
2026-01-01T00:10:00Z,2,CELL-002,-88.0647,17.5736,0.4586,22.5603,44.7722,99.7339,99.2914,0.1983,14.2902,99.9877,normal
2026-01-01T00:10:00Z,2,CELL-003,-84.3721,18.8586,0.4351,27.6938,59.3654,99.7348,99.3377,0.1974,15.2024,99.9925,normal
2026-01-01T00:10:00Z,2,CELL-004,-82.8342,19.1615,0.4311,26.1499,57.9775,99.7349,99.2813,0.1972,14.9225,99.9947,normal
2026-01-01T00:10:00Z,2,CELL-005,-90.1574,16.9025,0.4766,23.3033,47.7895,99.7333,99.3736,0.1991,14.4329,99.9936,normal
2026-01-01T00:10:00Z,2,CELL-006,-88.6496,17.5003,0.4604,26.3384,56.6296,99.7339,99.35,0.1984,14.9711,99.9949,normal
2026-01-01T00:10:00Z,2,CELL-007,-84.7885,19.0072,0.4331,23.7701,49.091,99.7348,99.4287,0.1973,14.4952,99.9898,normal
2026-01-01T00:10:00Z,2,CELL-008,-86.0973,18.4636,0.4411,27.3479,56.4232,99.7346,99.3631,0.1976,15.1432,99.992,normal
2026-01-01T00:10:00Z,2,CELL-009,-86.6679,17.9898,0.4497,29.0478,59.9916,99.7343,99.2945,0.198,15.4534,99.9939,normal
